fold,auc,best_thr,best_f1,best_prec,best_rec,best_youden
1,0.7286324786324786,0.05,0.35,0.25925925925925924,0.5384615384615384,0.3532763532763532
2,0.8034188034188035,0.25,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3967236467236468
3,0.7165242165242165,0.2,0.42857142857142855,0.4,0.46153846153846156,0.3782051282051282
4,0.9238985313751669,0.65,0.64,0.7272727272727273,0.5714285714285714,0.5433911882510012
5,0.6809078771695594,0.15,0.4166666666666667,0.5,0.35714285714285715,0.31041388518024027
