BMI组,有效自助迭代数,最优周_均值,最优周_标准差,最优周_p2.5,最优周_中位数,最优周_p97.5
Q1,500,16.815800000000003,0.2519868145546883,16.8,16.8,16.8
Q2,500,19.1764,0.6139355615595942,19.0,19.0,21.5
Q3,500,20.157600000000002,0.19171789562533434,19.9,20.3,20.3
Q4,500,16.300000000000004,1.280257822960983e-13,16.3,16.3,16.3
Q5,500,23.544999999999995,0.3004255498822355,23.2,23.5,24.0
