threshold,precision,recall,f1,sensitivity,specificity,youden
0.05,0.12871287128712872,1.0,0.22807017543859648,1.0,0.18518518518518517,0.18518518518518512
0.1,0.1518987341772152,0.9230769230769231,0.2608695652173913,0.9230769230769231,0.37962962962962965,0.30270655270655267
0.15,0.16666666666666666,0.8461538461538461,0.27848101265822783,0.8461538461538461,0.49074074074074076,0.33689458689458696
0.2,0.22916666666666666,0.8461538461538461,0.36065573770491804,0.8461538461538461,0.6574074074074074,0.5035612535612537
0.25,0.23255813953488372,0.7692307692307693,0.35714285714285715,0.7692307692307693,0.6944444444444444,0.4636752136752138
0.3,0.21621621621621623,0.6153846153846154,0.32,0.6153846153846154,0.7314814814814815,0.3468660968660968
0.35,0.22580645161290322,0.5384615384615384,0.3181818181818182,0.5384615384615384,0.7777777777777778,0.3162393162393162
0.39999999999999997,0.30434782608695654,0.5384615384615384,0.3888888888888889,0.5384615384615384,0.8518518518518519,0.3903133903133904
0.44999999999999996,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.5384615384615384,0.8981481481481481,0.4366096866096867
0.49999999999999994,0.4375,0.5384615384615384,0.4827586206896552,0.5384615384615384,0.9166666666666666,0.45512820512820507
0.5499999999999999,0.4375,0.5384615384615384,0.4827586206896552,0.5384615384615384,0.9166666666666666,0.45512820512820507
0.6,0.5,0.46153846153846156,0.48,0.46153846153846156,0.9444444444444444,0.4059829059829059
0.65,0.6,0.46153846153846156,0.5217391304347826,0.46153846153846156,0.9629629629629629,0.4245014245014245
0.7,0.5714285714285714,0.3076923076923077,0.4,0.3076923076923077,0.9722222222222222,0.2799145299145298
0.75,0.5714285714285714,0.3076923076923077,0.4,0.3076923076923077,0.9722222222222222,0.2799145299145298
0.7999999999999999,0.6,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.9814814814814815,0.21225071225071224
0.85,0.0,0.0,0.0,0.0,0.9907407407407407,-0.0092592592592593
0.9,0.0,0.0,0.0,0.0,0.9907407407407407,-0.0092592592592593
0.95,0.0,0.0,0.0,0.0,0.9907407407407407,-0.0092592592592593
