threshold,precision,recall,f1,sensitivity,specificity,youden
0.05,0.10344827586206896,0.1111111111111111,0.10714285714285714,0.1111111111111111,0.8790697674418605,-0.009819121447028456
0.1,0.12,0.1111111111111111,0.11538461538461539,0.1111111111111111,0.8976744186046511,0.008785529715762186
0.15,0.15789473684210525,0.1111111111111111,0.13043478260869565,0.1111111111111111,0.9255813953488372,0.03669250645994837
0.2,0.1875,0.1111111111111111,0.13953488372093023,0.1111111111111111,0.9395348837209302,0.05064599483204124
0.25,0.21428571428571427,0.1111111111111111,0.14634146341463414,0.1111111111111111,0.9488372093023256,0.059948320413436784
0.3,0.18181818181818182,0.07407407407407407,0.10526315789473684,0.07407407407407407,0.958139534883721,0.032213608957794904
0.35,0.1111111111111111,0.037037037037037035,0.05555555555555555,0.037037037037037035,0.9627906976744186,-0.00017226528854430434
0.39999999999999997,0.125,0.037037037037037035,0.05714285714285714,0.037037037037037035,0.9674418604651163,0.004478897502153245
0.44999999999999996,0.125,0.037037037037037035,0.05714285714285714,0.037037037037037035,0.9674418604651163,0.004478897502153245
0.49999999999999994,0.125,0.037037037037037035,0.05714285714285714,0.037037037037037035,0.9674418604651163,0.004478897502153245
0.5499999999999999,0.16666666666666666,0.037037037037037035,0.06060606060606061,0.037037037037037035,0.9767441860465116,0.013781223083548566
0.6,0.0,0.0,0.0,0.0,0.9813953488372092,-0.018604651162790753
0.65,0.0,0.0,0.0,0.0,0.9813953488372092,-0.018604651162790753
0.7,0.0,0.0,0.0,0.0,0.9813953488372092,-0.018604651162790753
0.75,0.0,0.0,0.0,0.0,0.986046511627907,-0.013953488372092981
0.7999999999999999,0.0,0.0,0.0,0.0,0.9906976744186047,-0.009302325581395321
0.85,0.0,0.0,0.0,0.0,0.9906976744186047,-0.009302325581395321
0.9,0.0,0.0,0.0,0.0,0.9906976744186047,-0.009302325581395321
0.95,0.0,0.0,0.0,0.0,0.9906976744186047,-0.009302325581395321
